time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/policy_gradient_loss,train/clip_range,train/loss,train/clip_fraction,train/learning_rate,train/entropy_loss,train/approx_kl,train/n_updates,train/explained_variance,train/value_loss
463,1,4,2048,,,,,,,,,,
413,2,9,4096,-0.04133828464837279,0.2,-0.03493791073560715,0.170361328125,0.0003,-1.0894320599734784,0.018628173,10,-0.4850555658340454,0.1715592785330955
408,3,15,6144,-0.07020156142825726,0.2,-0.12066005170345306,0.2796875,0.0003,-1.0664876636117697,0.02999195,20,-0.2139122486114502,0.08053341327176895
408,4,20,8192,-0.07283546638209373,0.2,-0.12611638009548187,0.307861328125,0.0003,-1.043349204212427,0.03077108,30,-0.0032591819763183594,0.057779512672277634
411,5,24,10240,-0.08344628245686181,0.2,-0.07418979704380035,0.356005859375,0.0003,-1.0159164717420937,0.037816364,40,-0.06423354148864746,0.07843150681583211
415,6,29,12288,-0.06224969658651389,0.2,-0.06948825716972351,0.344140625,0.0003,-0.9927808482199907,0.03699217,50,-0.023136019706726074,0.07654799935698975
414,7,34,14336,-0.06812197733088396,0.2,-0.08975300192832947,0.37041015625,0.0003,-0.9878248939290643,0.037916645,60,0.0004795193672180176,0.07418015777948313
413,8,39,16384,-0.08836616043990944,0.2,-0.11739905923604965,0.415283203125,0.0003,-0.9311641801148653,0.052678004,70,0.23631662130355835,0.037467569005093536
414,9,44,18432,-0.08790159752825275,0.2,-0.11577671021223068,0.420263671875,0.0003,-0.9024642765522003,0.057030417,80,0.20573174953460693,0.041738074462045915
414,10,49,20480,-0.08252556108636781,0.2,-0.10588081181049347,0.40302734375,0.0003,-0.8651011837646365,0.055733904,90,0.02276027202606201,0.04333063680096529
416,11,54,22528,-0.0741502816323191,0.2,-0.11910012364387512,0.3734375,0.0003,-0.8293236821889878,0.053471014,100,0.44363081455230713,0.03883858390181558
413,12,59,24576,-0.0810533408948686,0.2,-0.11101385951042175,0.391796875,0.0003,-0.8034647649154067,0.066216744,110,-0.15150117874145508,0.03974467956431908
412,13,64,26624,-0.06322767673409543,0.2,-0.0920129269361496,0.429443359375,0.0003,-0.8425839129835367,0.06824282,120,-0.13875877857208252,0.10265628853230738
413,14,69,28672,-0.08119477548752911,0.2,-0.10476541519165039,0.4296875,0.0003,-0.7827007852494716,0.07488728,130,-0.08229625225067139,0.038037992709723766
413,15,74,30720,-0.08009057221934199,0.2,-0.12473424524068832,0.399365234375,0.0003,-0.7590069130063057,0.07210159,140,0.23606514930725098,0.026541522949264616
414,16,79,32768,-0.07787851670291275,0.2,-0.08519671112298965,0.402587890625,0.0003,-0.7151679018512368,0.08795388,150,0.27986592054367065,0.044270821154350416
414,17,83,34816,-0.0708323521685088,0.2,-0.11764057725667953,0.385986328125,0.0003,-0.700346065685153,0.088261805,160,0.04630255699157715,0.03782863381784409
414,18,89,36864,-0.05969882602803409,0.2,-0.06854227185249329,0.382421875,0.0003,-0.6930938404053449,0.09470838,170,0.2631959915161133,0.06224837983754696
413,19,94,38912,-0.07139676347433124,0.2,-0.11063501983880997,0.399560546875,0.0003,-0.6417762601748109,0.10425013,180,0.09131580591201782,0.05142474984168075
412,20,99,40960,-0.07700014703441412,0.2,-0.08731386810541153,0.414990234375,0.0003,-0.6633812481537461,0.10842405,190,0.23577821254730225,0.02955834050444537
413,21,104,43008,-0.08015763724106365,0.2,-0.10462470352649689,0.408740234375,0.0003,-0.6750958949327469,0.10602653,200,0.022437632083892822,0.023608749904087744
414,22,108,45056,-0.06938212067034329,0.2,-0.0991801992058754,0.37861328125,0.0003,-0.5985613608732819,0.111322306,210,0.1967310905456543,0.04014354099927005
413,23,113,47104,-0.06467813479248434,0.2,-0.1143072322010994,0.35419921875,0.0003,-0.5710812210105359,0.10860711,220,0.17143017053604126,0.03988183105393546
413,24,118,49152,-0.0593284967384534,0.2,-0.056884050369262695,0.394921875,0.0003,-0.6065049692988396,0.11043739,230,0.43171197175979614,0.07369443927309476
413,25,123,51200,-0.06687296850723215,0.2,-0.11355668306350708,0.394482421875,0.0003,-0.6080100111663341,0.12143346,240,0.32657837867736816,0.043729802456800825
414,26,128,53248,-0.07229854339384474,0.2,-0.10078785568475723,0.396240234375,0.0003,-0.582300971634686,0.13484433,250,0.41304928064346313,0.035993438480363696
413,27,133,55296,-0.06777766181039624,0.2,-0.09904910624027252,0.38564453125,0.0003,-0.5760410003364086,0.14086623,260,-0.11542975902557373,0.04116360854823142
413,28,138,57344,-0.050379900363623165,0.2,-0.06370148807764053,0.360400390625,0.0003,-0.5385438077151775,0.12798285,270,0.5248062610626221,0.05690898430912057
413,29,143,59392,-0.059067510924069214,0.2,-0.08397725969552994,0.377294921875,0.0003,-0.5438955164514482,0.13497122,280,0.2849704623222351,0.07840635838219896
413,30,148,61440,-0.06558580900600645,0.2,-0.07432735711336136,0.375634765625,0.0003,-0.5830725813284516,0.12290717,290,-0.10625243186950684,0.04573163459281204
413,31,153,63488,-0.07400126781431027,0.2,-0.10596281290054321,0.404931640625,0.0003,-0.5742012159898877,0.13204542,300,-0.47033584117889404,0.02877122291829437
413,32,158,65536,-0.0623364996194141,0.2,-0.089882031083107,0.382958984375,0.0003,-0.5170349480584264,0.15499753,310,-0.24079978466033936,0.04307273514277767
413,33,163,67584,-0.060848440043628216,0.2,-0.08838560432195663,0.37255859375,0.0003,-0.5362491236999631,0.122605704,320,-0.42799806594848633,0.03139056988293305
412,34,168,69632,-0.06567808824474923,0.2,-0.08655929565429688,0.39462890625,0.0003,-0.5176263206638396,0.1551643,330,0.0814967155456543,0.03679409195901826
411,35,174,71680,-0.06672698229085654,0.2,-0.09035604447126389,0.382958984375,0.0003,-0.516373876761645,0.14671466,340,0.06294643878936768,0.04503395803767489
411,36,179,73728,-0.059347676095785576,0.2,-0.10112696886062622,0.3751953125,0.0003,-0.49391196658834813,0.16326526,350,0.2070367932319641,0.06525202727643772
411,37,183,75776,-0.06188765152473934,0.2,-0.08639974892139435,0.378515625,0.0003,-0.529883938934654,0.15232252,360,0.08025038242340088,0.04128521797683789
411,38,189,77824,-0.0632348532191827,0.2,-0.08422835916280746,0.37392578125,0.0003,-0.5095590901561081,0.14506638,370,-0.06858742237091064,0.039846355673216746
411,39,194,79872,-0.059786600363440814,0.2,-0.09009288251399994,0.391943359375,0.0003,-0.4885665132664144,0.18635696,380,-0.2758615016937256,0.04369587023975328
410,40,199,81920,-0.04683160660788417,0.2,-0.08400903642177582,0.3755859375,0.0003,-0.5072546053677798,0.15232296,390,-0.22936654090881348,0.043473767831164876
410,41,204,83968,-0.06244336750532966,0.2,-0.09245941787958145,0.39326171875,0.0003,-0.4852089123800397,0.20750286,400,-0.2724100351333618,0.04713739306243951
410,42,209,86016,-0.06358745737816207,0.2,-0.0975952073931694,0.37255859375,0.0003,-0.4983406635001302,0.15193567,410,0.021991610527038574,0.07494830105570145
410,43,214,88064,-0.055810746698989534,0.2,-0.0911795049905777,0.38935546875,0.0003,-0.48291503861546514,0.17714512,420,0.06710267066955566,0.0909612107614521
410,44,219,90112,-0.05449163211160339,0.2,-0.06102784723043442,0.353125,0.0003,-0.479347440879792,0.17917395,430,-0.12192320823669434,0.06128597147762775
410,45,224,92160,-0.05970408931607381,0.2,-0.10448042303323746,0.36748046875,0.0003,-0.5095755468122661,0.15277755,440,0.07572323083877563,0.03794926530099474
408,46,230,94208,-0.05576523939380422,0.2,-0.0651191771030426,0.35546875,0.0003,-0.4707225117832422,0.16441731,450,0.07826030254364014,0.03680029854440363
408,47,235,96256,-0.056970268522854896,0.2,-0.07912419736385345,0.39033203125,0.0003,-0.48402227703481915,0.17450032,460,-0.25009024143218994,0.03859575598617084
405,48,242,98304,-0.05455019746732433,0.2,-0.08443627506494522,0.368701171875,0.0003,-0.48432501647621395,0.17084448,470,-0.6712174415588379,0.03171650167496409
405,49,247,100352,-0.054449943476356566,0.2,-0.060999903827905655,0.350244140625,0.0003,-0.43602510923519733,0.17162709,480,-0.22899067401885986,0.06795168264507083
404,50,252,102400,-0.06130718833883293,0.2,-0.11323359608650208,0.36875,0.0003,-0.4284178138710558,0.20281476,490,-0.25250041484832764,0.0493152607275988
405,51,257,104448,-0.059096091805258766,0.2,-0.09694686532020569,0.364892578125,0.0003,-0.45391504671424626,0.2062378,500,-0.09897959232330322,0.1019479329494061
405,52,262,106496,-0.06470753079047427,0.2,-0.0823104977607727,0.377978515625,0.0003,-0.44862896408885716,0.1999132,510,0.23799103498458862,0.05630953641521046
405,53,267,108544,-0.061815129686146976,0.2,-0.07898207008838654,0.37431640625,0.0003,-0.4821443379856646,0.16868412,520,-0.48987090587615967,0.03845261421083705
